1lb,365,almond,and,apple,apples,assorted,avocados,baby,bag,bananas,bar,beans,beef,berry,black,blueberry,bread,breast,broccoli,brown,bunch,butter,carrots,cc,cheddar,cheese,cherry,chicken,chips,chocolate,clm,coconut,cream,ct,cv,dark,donation,eggs,for,free,ginger,greek,green,greens,ground,half,hass,hb,hot,italian,juice,kale,large,lemons,lf,milk,navel,nickel,non,og,onions,orange,oranges,organic,original,pck,pct,peppers,pint,plain,pork,profit,raspberry,red,refund,reg,rice,roasted,roll,s0,s1,s2,salad,salt,sauce,sld,soup,spinach,strawberry,sweet,tea,tomatoes,turkey,vanilla,water,white,whole,wtg,yogurt
0.060969683,0.049531351,0,0.057102234,0.143208321,0,0,0,0,0.045775459,0.163434914,0.047649447,0,0,0.219826059,0.066873674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161816476,0,0.131179877,0,0,0.339176299,0,0,0,0,0,0.201890392,0,0.05058734,0.068970122,0,0.189757931,0,0.20411674,0.063464761,0,0.127185347,0.0710561,0,0,0,0,0.251241139,0,0,0.581088083,0.060352571,0.065812667,0.235950966,0,0,0,0,0,0.130443246,0,0,0,0.071878126,0.099458746,0,0,0.068509952,0,0,0,0,0,0,0.060935425,0,0,0.133138318,0,0.121945079,0,0.063884489,0,0,0,0.120865946,0,0,0.143370525,0
0,0.175776946,0,0,0,0,0.132139154,0,0.106309411,0.162448032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120332082,0,0.123638967,0.087633854,0,0.0957091,0,0,0,0,0.401223153,0.126740556,0.130915212,0.111147983,0,0.110456265,0,0,0.089762221,0.122380646,0.114088796,0.112235548,0,0,0,0,0,0,0,0,0,0.090235721,0,0,0,0.343694405,0,0,0,0,0,0,0,0.120198559,0.115729307,0,0,0,0,0,0.104673778,0.58769156,0,0,0.134062512,0,0,0.106550122,0,0,0.118534872,0.101402548,0,0.11832014,0,0,0,0.105372757,0,0,0,0.103689538,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.314116952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.448529363,0.83675083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.176377526,0,0,0.173409823,0,0.112755491,0.134192602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.484689342,0.157715659,0,0,0,0,0,0,0,0.1657675,0,0,0,0,0,0.173409823,0,0,0,0,0,0,0,0,0.125265574,0,0,0,0.636157192,0,0,0,0,0.163526961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150097975,0,0,0,0,0,0,0,0,0,0,0.297720641,0,0.136373269,0.117718199,0
0.065465309,0.02363714,0.007806405,0.068125213,0,0.040933293,0.008884532,0.050393524,0.007147839,0.04368954,0,0.090956266,0.101732045,0.043394644,0.026226114,0.023934878,0,0.065145383,0.218839704,0.023313741,0,0.039099953,0.027835321,0,0.008429085,0,0.052059868,0,0.218010122,0.022004185,0.045045799,0.038242659,0.031300551,0.00763879,0.060570414,0.166356389,0,0.008802239,0.007473166,0.008907305,0.230226373,0.024086319,0,0.102599569,0.106969291,0.069038052,0.128286919,0.050393524,0.024351931,0.022714787,0.015351428,0.007586856,0.118681814,0,0.025949754,0.230069966,0.054603946,0,0.009458504,0.008430059,0.362036278,0.014400599,0,0,0,0.031681019,0.031253769,0.00803782,0,0.023343589,0.230366356,0.017466122,0.00946001,0.008575343,0.02966455,0.056302919,0.023708481,0.008173507,0.030799669,0.027041553,0.051284833,0.046346406,0.193428623,0.097385025,0.007269836,0.039849159,0.034089599,0,0.071598547,0.007274264,0.023443347,0.007621671,0.035424308,0.023393039,0.022165962,0.591211108,0.020915065,0.066050945,0.062717116,0.185561069
0.044764901,0.036366697,0,0.125776077,0.157718705,0.083970039,0,0.051688318,0.087977912,0.067218126,0.039998829,0.244894819,0.048159652,0,0.201749692,0,0.046511363,0.12027457,0,0.047825513,0.043282932,0.096250977,0,0.04840045,0,0.04979129,0,0,0.072522681,0.045139106,0,0,0,0,0.053251448,0.304368263,0,0,0,0,0,0,0,0,0,0,0.13932326,0.051688318,0,0.046596826,0,0.140072226,0,0.047184826,0,0,0,0,0,0,0.639966028,0,0,0,0,0,0.192340755,0,0,0.143660228,0.105015693,0,0,0.105548103,0.073024177,0,0,0,0,0.277363494,0.045087881,0,0,0.138305357,0,0,0,0.195504498,0.048958783,0.044766999,0,0,0,0,0,0,0.085809798,0.040648821,0.035088299,0
0,0,0,0.185703856,0,0,0,0,0,0,0,0,0.213317984,0,0,0,0,0,0.411406516,0,0,0,0,0,0,0.220545147,0.405460049,0,0.321231392,0.199938802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104987426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445606461,0,0,0,0,0.390571024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180049568,0,0
0.078780717,0.064000912,0,0.021080992,0.046260919,0.026388738,0.027492721,0.019492517,0.060826188,0.316863292,0.005028073,0,0.10291686,0.022380411,0.136949643,0.067893129,0.081854274,0.020158899,0.017513484,0.114226666,0.070731731,0.030248192,0.016150303,0.054757823,0,0.012518077,0.046027585,0.038586272,0.041024248,0.039719636,0.039826251,0,0.00605362,0.01181892,0.013387999,0.483476916,0.032961868,0.054476137,0.063594635,0.041344785,0,0.024844619,0.253959487,0.224109896,0.108215101,0.02967148,0.070054798,0.019492517,0,0.011714954,0.005938024,0.070431394,0.085255553,0.065245311,0.040150082,0.056955162,0.028161511,0,0.029268849,0.032607972,0.423092926,0.055702377,0.042519239,0,0,0.006127204,0.102757732,0.118144929,0.056268842,0.10835328,0.006600525,0.040536002,0.029273508,0.03980393,0.059667012,0.337563746,0.036682329,0.031615614,0.005956748,0,0.039674561,0.047805512,0.022168696,0,0.022496129,0.006165557,0,0,0.006154388,0.045019662,0.030226756,0.023584864,0.049328404,0,0.005715951,0.005577658,0.021573526,0.081756483,0.070572672,0.191403019
0,0,0,0,0,0,0,0,0,0,0,0.455823461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.650872885,0.607115689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.145960269,0,0.185697861,0,0,0,0.167265224,0.19375376,0,0,0,0,0,0.216422517,0,0,0,0,0,0.165225957,0,0,0,0,0,0,0,0,0,0.381369003,0.206144233,0,0,0,0.196955466,0,0,0.41683498,0.194405898,0,0.194797722,0,0,0,0.236288148,0,0,0,0,0.098888606,0,0,0,0,0,0,0,0,0,0.219067174,0,0,0,0,0,0,0,0,0,0,0.198329275,0.183941191,0,0,0,0,0.203915322,0,0,0,0,0,0.20021076,0,0,0,0.169590317,0,0.17645953
